明年,707
越好,1
怀念,56
回来,215
智能家居,216
奉献,217
过去,218
出现,286
九月,219
小学生,220
拜拜,2
小时,430
不想,3
旅程,618
垂怜,5
微软,222
亮白,432
礼物,681
手机,433
来吧,223
喜欢你,619
羞嗒嗒,434
爽,709
衰,620
抵挡,224
季正,461
空间,435
心得,227
课表,622
全新,623
衣服,6
过程,624
下来,228
我爱,47
等待,486
听到,437
正式,438
季来袭,626
口碑,7
你好,740
到时,230
学会,686
得意地笑,627
在家,440
时刻,231
协会,441
吉利,496
注册,532
初三,232
乐驼网,502
计划,628
节奏,770
欢笑,444
住宿,741
书呆子,753
相信,629
感动,233
岁月,8
事情,630
美景,445
用心,221
奖品,9
问候,100
一句话,632
初中,234
降临,235
离开,446
参与,701
营养,236
白天,10
天气,237
同学,238
回去,696
辛苦,240
体验,11
希望,12
禾祥,742
漂亮,241
明确,13
姐姐,14
天生日,448
月亮,449
香港,242
心疼,15
力量,243
必修,244
上班,712
教室,16
创意,17
返校,18
留在,245
复印件,638
蜡烛,639
游戏,229
笑脸,452
有没有,453
夜晚,247
服务好,454
工作,640
第一,19
呵呵,248
高涨,20
次元,21
认真,455
直升,456
课程,524
想起,642
顺心,643
白火,249
值得,644
管中,157
样子,22
珍惜,250
录取,23
冬天,290
链接,251
浮云,252
伤心,24
广州,617
停车场,25
打喷嚏,253
真心,457
手气,26
欢迎,633
国庆,239
面临,635
果断,458
艾特,254
积分,226
太开心,647
处女座,558
关怀,459
落叶,763
不在,29
自然,648
坚持,256
拿来,30
天价,257
抓狂,460
失望,621
熊猫,31
不好意思,32
鞋子,258
结束,556
提供,259
顶,649
说是,650
围观,33
蛋糕,652
送给,260
奋斗,284
睡觉,436
联系,261
最美,774
给劲,653
点点滴滴,443
成功,263
汗,296
时间,462
暑假,422
无聊,264
给力,654
孩子,463
不知,464
需要,715
还好,529
心,465
学期,655
遥远,35
新一代,265
好日子,276
宝贝,466
纪念,467
生日,468
喜悦,708
多事,311
不够,37
看吧,657
须要,469
休息,68
熟悉,470
珍贵,38
办法,471
右边,472
旅行箱,658
卷卷,39
喜爱,267
方式,40
学院,41
算是,474
说说,475
情况,661
怒,732
亲爱,476
方便,347
财神,42
梦想,477
心情,43
期待,409
必备,326
青春,269
不要,662
高兴,479
热情,355
免费,270
重点,271
大吉,272
放弃,367
吸引,480
玛雅,273
好事,481
设施,274
少年,482
八戒,46
路过,275
粉丝,483
回家,484
换来,48
走过,277
笑哈哈,278
学校,279
获得,651
今晚,280
囧,50
泪,717
宝莱,775
不住,51
充值卡,281
时代,487
感受到,282
详情,283
控,52
做到,667
夏天,53
不好,668
下去,669
在校,54
拳头,488
速度,670
亲亲,34
早点,55
娜娜,671
信心,285
哈哈,57
全国,58
福利,59
秋季,439
勤奋,287
雨点,489
话费,60
干嘛,490
超酷,61
神仙,447
酷,289
外面,672
青年,525
馋嘴,491
包包,673
表示,492
季节,674
发表,675
短信,62
想到,63
无限,64
眷顾,65
悲伤,450
萌,676
感恩,66
吃饭,719
一想,67
高二,677
度过,291
不算,679
一年,71
举行,292
惊呆,485
美麗,49
偷乐,293
满足,751
争取,493
注定,69
考试,683
道理,494
感觉,70
天使,680
美美,564
浪漫,294
买单,295
吐,682
迎新,72
利器,495
每一,497
甜蜜,776
明星,501
祝贵博,678
当当,498
里面,297
意义,685
切都,298
八月,442
好孩子,73
实习,499
劲爆,75
教学,76
好友,93
舒服,724
情绪,77
晕,687
阿姨,688
纠结,689
开门,505
面的,301
还要,690
在一起,691
服务,692
多来,302
祝自己,78
早安,79
愿望,80
带来,303
可爱,507
晚上,695
发微,82
推荐,125
好想,374
谢谢,84
人脉,547
新主人,85
花心,660
信息,134
到爆,141
书包,304
赢取,406
头发,512
作业,513
贱,698
继续,514
嘤嘤,151
用户,699
拥有,572
实现,158
顶起,87
互动,305
人生,88
星期,749
祝此微,533
狂欢,89
以为,534
行李,90
新浪,91
放假,92
选择,299
压力,702
即日,573
祝愿,516
故事,336
公众,597
韩庚,598
肯定,703
百货,517
重在,727
高考,182
成为,307
话题,188
到来,697
抱抱,503
痛苦,704
班纳,308
掩饰,95
小伙,309
可怕,96
厚爱,204
易数影,97
猛击,206
疯狂,519
可怜,99
好棒,213
发现,214
真好,310
忠实,631
表情,520
得到,521
有空,522
祝我,710
见面,312
今天,313
阳台,314
平淡,315
转转,603
都来,523
认识,316
周年校庆,317
解忧,575
周一,103
参加,318
运气,104
好爱哦,319
害羞,526
生活,320
哈哈哈哈,106
忧伤,321
学业,107
点击,255
回忆,506
上市,322
设备,714
儿子,323
哼,527
青睐,262
带上,528
通知书,324
薪水,266
委屈,108
钞票,109
哭,659
派对,110
上帝,325
宿舍,111
差不,665
教育,716
恭祝,112
工资,327
知心,113
许愿,328
新概念,114
不让,329
看到,330
挑战,781
好好,718
目标,115
现金,554
末日,693
宣言,331
啦啦,530
小朋友,720
吃惊,332
收获,577
属于,333
通城,531
伸手,116
政府,415
精彩,334
明天,306
鼠标,335
如愿,694
西路,539
准备,117
难过,726
好心情,557
猪头,723
妹妹,713
不停,118
最高,225
传递,535
能开,119
诱人,504
礼包,120
最近,337
鄙视,725
毕业,338
大乐,607
军训,339
移动,340
走入,121
木棍,473
动情,536
投票,122
主持人,341
思考,342
不会,123
流量,124
旅行,537
是不是,538
来回,508
友谊,540
每一次,343
奇迹,83
越来越,541
暑期,542
视频展台,543
机遇,509
播种,545
激动,126
期盼,729
熬夜,127
新品,730
上学,128
中秋,616
看书,546
不到,500
回到,344
感言,634
杀青,548
昨天,398
活动,346
应该,129
么么,130
兔子,131
你我,132
朋友,664
享受,133
不断,550
错过,86
大人,551
来临,135
百年,136
之星,348
一根,552
求好,734
领取,608
悲催,764
舍不得,735
大礼,350
惊喜,137
嘻嘻,737
足够,738
感叹,138
目光,139
淚,140
电脑,268
学生,553
许个愿,739
老百姓,352
搜狗,353
仙灵,478
貌似,354
不来,142
幸运,143
电话,356
机会,381
互粉,357
祝小编,358
能够,359
态度,144
恨,360
好消息,361
开心,362
爱你,743
装扮,744
前期,363
习惯,555
乐乐,518
搜搜,145
威武,745
寝室,549
觉得,146
亲朋好友,147
学年,747
第二,748
中彩,27
锦江,28
失败,364
闲置,656
商家,148
点点,752
抽奖,511
友情,149
快乐,150
年糕,559
巨礼,365
永久,152
上课,750
献礼,153
累,560
红火,366
所有人,154
记忆,561
太阳,155
大学,44
逝去,562
幼儿园,609
泡泡,368
格子,369
挖鼻屎,563
不知道,4
喜欢,565
闪耀,733
心里,566
东城,728
想念,785
兰州,156
学生会,567
妈妈,568
老婆,569
不上,370
悲剧,74
大大,570
果实,571
银魂,81
我爱你,700
知道,371
叔叔,636
一群,372
不中,373
新生,98
喜迎,754
冲啊,574
偷笑,101
假期,755
阴险,756
伤感,102
雪,105
面对,375
愉快,576
以前,45
马上就,376
太原,377
好运来,757
不错,515
团购,378
不开心,379
评论,579
距离,380
公平,580
不快,581
地方,159
失眠,746
虔诚,160
里来,382
阵容,758
生病,161
迎来,383
哥哥,759
求关注,762
微笑,666
凌晨,760
发动,761
女神,384
力挺,385
小学,162
乐购,36
完了,582
告诉,663
中奖,386
老师,387
火爆,166
童鞋,163
带给,388
拜托,722
又是,164
令人,389
保佑,165
恐惧症,592
云号送,583
文艺,578
关注,584
门市,451
努力,167
大奖,510
奥特曼,586
总动员,168
天都,392
啦啦啦啦,169
回馈,170
获奖,393
小小,394
升级,207
老天,395
周周,588
明珠,589
晚安,765
老大,396
混蛋,397
最爱,767
视力,171
博文,590
时光,172
牛奶,768
周末,769
照片,591
季带着,173
兴奋,399
分享,788
一日,400
今日,174
日子,593
好玩,594
主办方,790
我要,175
东西,176
派送,771
只能,595
焦躁,596
全身心,625
人气,177
蛋蛋,178
世界,401
感谢,179
估计,772
做鬼脸,402
妙趣,791
寒假,599
美好,180
优惠,181
老子,773
开学,403
温暖,731
报道,423
平板,585
星期天,183
快快,184
想想,404
欢乐,390
不懂,600
发送,185
今年,405
第三,186
幸福,615
长大,544
签到,288
安康,612
试试,601
名字,391
忘记,187
报到,711
帮助,94
有奖,684
泪流满面,189
宣传,190
体彩,300
盎然,777
昨晚,191
加油,192
愿意,587
典礼,407
午饭,602
携手,408
好开心,778
地址,193
带走,604
无线,410
讨厌,411
记得,613
校园,779
家长,413
惊讶,194
诱惑,414
好运,195
智能,780
角落,605
下午,606
再见,431
看着,196
西瓜,641
这是,197
连连,198
送礼,199
我喜欢,200
想要,782
要说,783
坚强,201
争夺,345
春天,416
高三,349
想着,417
你妹的,784
尼玛,766
家里,202
大四,786
温馨,203
能量,418
小伙伴,419
朦胧,420
崩溃,787
学习,205
有限,610
莫名,797
微风,246
重要,421
发布,789
减肥,611
爆发,208
王送,705
紧张,792
矿泉水,209
排行榜,736
转发,210
秋装,706
噢耶,793
人品,211
早起,424
见到,646
之神,412
发来,425
正常,645
票数,614
第一次,637
牵挂,794
失去,795
信赖,796
中国,426
时尚,212
点滴,427
理由,428
读书,721
电源,351
鼓掌,429
